customer_id,new_region,change_date
2,North,2025-03-25
3,North,2024-09-07
9,South,2025-02-18
29,North,2025-03-17
34,South,2024-11-23
40,East,2025-09-17
41,West,2024-11-24
43,East,2025-07-17
49,West,2024-08-29
50,West,2024-10-05
58,West,2024-09-21
72,West,2024-10-31
73,West,2025-03-04
75,East,2024-11-30
83,South,2025-09-27
88,North,2025-02-13
93,South,2025-03-31
95,West,2025-08-23
97,South,2024-11-15
102,East,2025-04-22
108,North,2025-01-04
113,East,2025-01-09
116,South,2024-09-05
130,North,2025-01-08
137,South,2025-01-18
144,South,2024-12-17
149,South,2025-05-03
167,West,2024-09-15
186,South,2025-01-26
205,West,2024-10-01
211,North,2025-01-17
213,West,2024-09-12
214,East,2024-12-15
221,East,2024-12-31
222,South,2025-07-25
223,North,2025-06-15
226,East,2025-01-10
227,East,2025-01-10
229,North,2025-09-22
240,South,2024-09-08
247,West,2025-07-08
249,North,2024-10-03
262,East,2025-01-26
268,East,2025-03-22
275,South,2025-01-14
290,West,2025-07-06
